{}
{{}}
MessageKey	EN-GB	DE	TR	PL	UK	IT	FR	ES	RU	AR
summaryUserData	Your selected language is {}, your appointment is on {} and right now it is {}.	Ihre gewählte Sprache ist {}, Ihr Termin ist am {} und im Moment ist es {}.	Seçtiğiniz dil {}, randevunuz {}'da ve şu anda {}.	Wybrany język to {}, spotkanie jest w {} i w tej chwili jest {}.	Ви вибрали мову {}, ваша зустріч призначена на {}, а зараз - на {}.	La lingua selezionata è {}, l'appuntamento è su {} e in questo momento è {}.	La langue que vous avez choisie est {}, votre rendez-vous est le {} et il est actuellement le {}.	Su idioma seleccionado es {}, su cita es en {} y ahora mismo es {}.	Выбранный вами язык - {}, встреча назначена на {}, а прямо сейчас - {}.	لغتك المختارة هي {}، وموعدك على {} والآن هو {}.
summaryUserDate	Your appointment is on {}.	Ihr Termin ist am {}.	Randevunuz {} tarihinde.	Twoje spotkanie odbędzie się {}.	Ваша зустріч призначена на {}.	Il suo appuntamento è il {}.	Votre rendez-vous est fixé au {}.	Su cita es el {}.	Ваша встреча назначена на {}.	موعدك على {}.
userDataConfirmationQuestion	Is that correct?	Ist das richtig?	Bu doğru mu?	Czy to prawda?	Це правда?	È corretto?	Est-ce exact ?	¿Es correcto?	Это верно?	هل هذا صحيح؟
yes	Yes	Ja	Evet	Tak	Так.	Sì	Oui	Sí	Да	نعم
no	No	Nein	Hayır	Nie	Ні.	No	Non	No	Нет	لا يوجد
retryDataCollection	Sorry for the inconvenience, I will ask you again.	Entschuldigen Sie die Unannehmlichkeiten, ich werde Sie erneut fragen.	Rahatsızlık için özür dilerim, size tekrar soracağım.	Przepraszam za niedogodności, zapytam ponownie.	Вибачте за незручності, я запитаю вас ще раз.	Mi dispiace per l'inconveniente, ve lo chiederò di nuovo.	Désolé pour le désagrément, je vous le redemanderai.	Disculpe las molestias, le preguntaré de nuevo.	Извините за неудобства, я спрошу вас еще раз.	أعتذر عن الإزعاج، سأسألك مرة أخرى.
settingsNotSaved	I had a problem saving your data, so the reminders I had to give you are not going to work right, please contact the people responsible for the bot.	Ich hatte ein Problem beim Speichern Ihrer Daten, so dass die Erinnerungen, die ich Ihnen geben musste, nicht richtig funktionieren werden.	Verilerinizi kaydederken bir sorun yaşadım, bu nedenle size vermem gereken hatırlatıcılar doğru çalışmayacak, lütfen bottan sorumlu kişilerle iletişime geçin.	Miałem problem z zapisaniem twoich danych, więc przypomnienia, które miałem ci dać, nie będą działać poprawnie, skontaktuj się z osobami odpowiedzialnymi za bota.	У мене виникли проблеми зі збереженням ваших даних, тому нагадування, які я мав вам надіслати, не будуть працювати належним чином, будь ласка, зв'яжіться з людьми, відповідальними за бота.	Ho avuto un problema nel salvare i tuoi dati, quindi i promemoria che dovevo darti non funzioneranno correttamente, per favore contatta i responsabili del bot.	J'ai eu un problème de sauvegarde de vos données, donc les rappels que je devais vous donner ne vont pas fonctionner correctement, veuillez contacter les personnes responsables du bot.	He tenido un problema al guardar tus datos, así que los recordatorios que tenía que darte no van a funcionar bien, por favor, ponte en contacto con los responsables del bot.	У меня возникла проблема с сохранением ваших данных, поэтому напоминания, которые я должен был вам дать, не будут работать правильно, пожалуйста, свяжитесь с людьми, ответственными за бота.	لقد واجهت مشكلة في حفظ بياناتك، لذا فإن التذكيرات التي كنت سأعطيك إياها لن تعمل بشكل صحيح، يرجى الاتصال بالأشخاص المسؤولين عن الروبوت.
changeAppointment	First you have to change the appointment with your doctor, and once you have done so, you have to tell me so that I can take it into account. Did you already change the appointment date?	Zuerst müssen Sie den Termin mit Ihrem Arzt ändern, und wenn Sie das getan haben, müssen Sie mir das mitteilen, damit ich es berücksichtigen kann. Haben Sie den Termin bereits geändert?	Öncelikle doktorunuzla randevunuzu değiştirmelisiniz ve bunu yaptıktan sonra, bunu dikkate alabilmem için bana söylemelisiniz. Randevu tarihini zaten değiştirdiniz mi?	Najpierw musisz zmienić termin wizyty u swojego lekarza, a gdy już to zrobisz, musisz mnie o tym poinformować, abym mógł to uwzględnić. Czy zmieniłeś już datę wizyty?	Спочатку ви повинні змінити дату візиту до лікаря, а після того, як ви це зробите, ви повинні повідомити мене, щоб я міг це врахувати. Ви вже змінили дату прийому?	Per prima cosa deve cambiare l'appuntamento con il suo medico e, una volta fatto, deve comunicarmelo in modo che possa tenerne conto. Ha già cambiato la data dell'appuntamento?	Vous devez d'abord modifier le rendez-vous avec votre médecin et, une fois que vous l'avez fait, vous devez m'en informer pour que je puisse en tenir compte. Avez-vous déjà modifié la date du rendez-vous ?	Primero tienes que cambiar la cita con tu médico y, una vez que lo hayas hecho, tienes que decírmelo para que lo tenga en cuenta. ¿Ha cambiado ya la fecha de la cita?	Сначала вы должны изменить дату приема у своего врача, а после того, как вы это сделаете, вы должны сообщить мне, чтобы я мог принять это во внимание. Вы уже изменили дату приема?	عليك أولاً تغيير الموعد مع طبيبك، وبمجرد قيامك بذلك، عليك إخباري بذلك حتى أتمكن من أخذ ذلك في الاعتبار. هل قمت بتغيير الموعد بالفعل؟
dontChangeAppointment	Ok. We are not going to change your appointment date. Do not hesitate to ask me anything else!	Na gut. Wir werden Ihren Termin nicht ändern. Zögern Sie nicht, mich noch etwas zu fragen!	Tamam. Randevu tarihinizi değiştirmeyeceğiz. Bana başka bir şey sormaktan çekinmeyin!	Ok. Nie zmienimy daty spotkania. Nie wahaj się zapytać mnie o cokolwiek innego!	Гаразд. Ми не будемо змінювати дату вашої зустрічі. Не соромтеся запитувати мене про що-небудь ще!	Ok. Non cambieremo la data dell'appuntamento. Non esiti a chiedermi qualsiasi altra cosa!	D'accord. Nous n'allons pas changer la date de votre rendez-vous. N'hésitez pas à me poser d'autres questions !	De acuerdo. No vamos a cambiar la fecha de su cita. No dude en preguntarme cualquier otra cosa.	Хорошо. Мы не будем менять дату вашей встречи. Не стесняйтесь спрашивать меня о чем-нибудь еще!	حسناً. لن نقوم بتغيير موعدك. لا تتردد في سؤالي عن أي شيء آخر!
appointmentChanged	The date was successfully updated.	Das Datum wurde erfolgreich aktualisiert.	Tarih başarıyla güncellendi.	Data została pomyślnie zaktualizowana.	Дата була успішно оновлена.	La data è stata aggiornata con successo.	La date a été mise à jour avec succès.	La fecha se ha actualizado correctamente.	Дата была успешно обновлена.	تم تحديث التاريخ بنجاح.
introduceSituation	Ok. Now that everything is settled, I am going to explain you some things that you should know. Three days before the appointment you should start with the diet, which will change the closer the day is. Do not worry about the details, I will remind you each of those days. The day of the appointment you should not plan any further appointments. It is probable that you will need to start taking laxatives two days before the examination. They may produce discomfort and diarrhoea, which is completely normal.	Nun gut. Da nun alles geklärt ist, werde ich Ihnen einige Dinge erklären, die Sie wissen sollten. Drei Tage vor dem Termin sollten Sie mit der Diät beginnen, die sich ändern wird, je näher der Tag rückt. Machen Sie sich keine Gedanken über die Details, ich werde Sie an jedem dieser Tage daran erinnern. Am Tag des Termins sollten Sie keine weiteren Termine einplanen. Es ist wahrscheinlich, dass Sie zwei Tage vor der Untersuchung mit der Einnahme von Abführmitteln beginnen müssen. Dies kann zu Unwohlsein und Durchfall führen, was völlig normal ist.	Tamam. Şimdi her şey hallolduğuna göre, size bilmeniz gereken bazı şeyleri açıklayacağım. Randevudan üç gün önce, gün yaklaştıkça değişecek olan diyete başlamalısınız. Detaylar için endişelenmeyin, o günlerin her birinde size hatırlatacağım. Randevu günü başka bir randevu planlamamalısınız. Muhtemelen muayeneden iki gün önce müshil almaya başlamanız gerekecektir. Bunlar rahatsızlık ve ishale neden olabilir, bu tamamen normaldir.	Ok. Teraz, gdy wszystko jest już ustalone, wyjaśnię ci kilka rzeczy, które powinieneś wiedzieć. Trzy dni przed wizytą należy rozpocząć dietę, która będzie się zmieniać wraz ze zbliżaniem się dnia wizyty. Nie martw się o szczegóły, przypomnę Ci o nich każdego dnia. W dniu wizyty nie należy planować żadnych innych spotkań. Prawdopodobnie na dwa dni przed badaniem konieczne będzie rozpoczęcie przyjmowania środków przeczyszczających. Mogą one powodować dyskomfort i biegunkę, co jest całkowicie normalne.	Гаразд. Тепер, коли все вирішено, я поясню вам деякі речі, які ви повинні знати. За три дні до зустрічі ви повинні почати з дієти, яка буде змінюватися з наближенням дня. Не турбуйтеся про деталі, я буду нагадувати вам про кожен з цих днів. У день прийому не плануйте ніяких інших зустрічей. Ймовірно, що за два дні до обстеження вам потрібно буде почати приймати проносні препарати. Вони можуть викликати дискомфорт і діарею, що є абсолютно нормальним явищем.	Ok. Ora che tutto è sistemato, vi spiegherò alcune cose che dovreste sapere. Tre giorni prima dell'appuntamento dovrete iniziare la dieta, che cambierà quanto più si avvicina il giorno dell'appuntamento. Non si preoccupi dei dettagli, le ricorderò ogni giorno. Il giorno dell'appuntamento non dovete programmare altri appuntamenti. È probabile che due giorni prima dell'esame sia necessario iniziare a prendere dei lassativi. Potrebbero provocare fastidio e diarrea, il che è del tutto normale.	Ok. Maintenant que tout est réglé, je vais vous expliquer certaines choses que vous devez savoir. Trois jours avant le rendez-vous, vous devez commencer le régime, qui changera au fur et à mesure que le jour approchera. Ne vous inquiétez pas pour les détails, je vous rappellerai chacun de ces jours. Le jour du rendez-vous, vous ne devez pas prévoir d'autres rendez-vous. Il est probable que vous deviez commencer à prendre des laxatifs deux jours avant l'examen. Ils peuvent provoquer une gêne et une diarrhée, ce qui est tout à fait normal.	Vale. Ahora que ya está todo arreglado, te voy a explicar algunas cosas que debes saber. Tres días antes de la cita debes empezar con la dieta, que irá cambiando cuanto más se acerque el día. No te preocupes por los detalles, yo te los recordaré cada uno de esos días. El día de la cita no debe planificar ninguna otra cita. Es probable que tenga que empezar a tomar laxantes dos días antes del examen. Pueden producir molestias y diarrea, lo cual es completamente normal.	Хорошо. Теперь, когда все улажено, я объясню вам некоторые вещи, которые вы должны знать. За три дня до приема вы должны начать соблюдать диету, которая будет меняться по мере приближения дня приема. Не беспокойтесь о деталях, я буду напоминать вам о каждом из этих дней. В день приема не стоит планировать никаких других встреч. Вероятно, за два дня до обследования вам придется начать принимать слабительные средства. Они могут вызвать дискомфорт и диарею, что совершенно нормально.	حسناً. الآن بعد أن استقر كل شيء، سأشرح لك بعض الأشياء التي يجب أن تعرفها. قبل ثلاثة أيام من الموعد يجب أن تبدئي بالنظام الغذائي، والذي سيتغير كلما اقترب اليوم. لا تقلق بشأن التفاصيل، سأذكرك في كل يوم من تلك الأيام. في يوم الموعد يجب ألا تخطط لأي مواعيد أخرى. من المحتمل أن تحتاج إلى البدء بتناول الملينات قبل يومين من الفحص. قد ينتج عنها الشعور بعدم الراحة والإسهال، وهو أمر طبيعي تماماً.
waitForMessage	If you have any questions let me know!	Wenn Sie irgendwelche Fragen haben, lassen Sie es mich wissen!	Herhangi bir sorunuz varsa bana bildirin!	Jeśli masz jakieś pytania, daj mi znać!	Якщо у вас виникнуть запитання, дайте мені знати!	Se avete domande fatemi sapere!	Si vous avez des questions, n'hésitez pas à me les poser !	Si tiene alguna pregunta, hágamelo saber.	Если у вас есть вопросы, дайте мне знать!	إذا كان لديك أي أسئلة فأخبرني بها!
matchNotFound	Sorry but I could not find any good answer for that. Would you mind rephrasing it? If even after that I cannot answer you I strongly suggest you to contact our team by telephone at any time: Endoscopy at Ulm University Hospital 0731-500-44632.	Leider konnte ich keine gute Antwort darauf finden. Könnten Sie die Frage bitte anders formulieren? Wenn ich Ihnen auch dann keine Antwort geben kann, empfehle ich Ihnen dringend, sich jederzeit telefonisch mit unserem Team in Verbindung zu setzen: Endoskopie am Universitätsklinikum Ulm 0731-500-44632.	Üzgünüm ama bunun için iyi bir cevap bulamadım. Tekrar ifade edebilir misiniz? Buna rağmen size cevap veremiyorsam, ekibimizle istediğiniz zaman telefonla iletişime geçmenizi şiddetle tavsiye ederim: Ulm Üniversite Hastanesi Endoskopi 0731-500-44632.	Przepraszam, ale nie znalazłem żadnej dobrej odpowiedzi na to pytanie. Czy mógłbyś to przeformułować? Jeśli nawet po tym nie mogę odpowiedzieć, zdecydowanie sugeruję skontaktowanie się z naszym zespołem telefonicznie w dowolnym momencie: Endoskopia w Szpitalu Uniwersyteckim w Ulm 0731-500-44632.	Вибачте, але я не знайшов жодної гарної відповіді на це запитання. Чи не могли б ви перефразувати його? Якщо навіть після цього я не зможу вам відповісти, я наполегливо пропоную вам зв'язатися з нашою командою по телефону в будь-який час: Ендоскопія в Університетській лікарні Ульма 0731-500-44632.	Mi dispiace, ma non sono riuscito a trovare una risposta valida a questa domanda. Le dispiacerebbe riformulare la domanda? Se anche così non riesco a risponderle, le consiglio vivamente di contattare il nostro team telefonicamente in qualsiasi momento: Endoscopia dell'Ospedale Universitario di Ulm 0731-500-44632.	Désolé, mais je n'ai pas trouvé de bonne réponse à cette question. Pourriez-vous la reformuler ? Si même après cela je ne peux pas vous répondre, je vous suggère fortement de contacter notre équipe par téléphone à tout moment : Endoscopie à l'hôpital universitaire d'Ulm 0731-500-44632.	Lo siento, pero no he encontrado una buena respuesta. ¿Le importaría volver a formularla? Si incluso después de eso no puedo responderle, le sugiero encarecidamente que se ponga en contacto con nuestro equipo por teléfono en cualquier momento: Endoscopia del Hospital Universitario de Ulm 0731-500-44632.	Извините, но я не смог найти хорошего ответа на этот вопрос. Не могли бы вы перефразировать его? Если и после этого я не смогу вам ответить, я настоятельно рекомендую вам связаться с нашей командой по телефону в любое время: Эндоскопия в университетской клинике Ульма 0731-500-44632.	آسف ولكنني لم أجد أي إجابة جيدة لذلك. هل تمانع في إعادة صياغة السؤال؟ إذا لم أتمكن حتى بعد ذلك من الإجابة عليك أقترح عليك بشدة الاتصال بفريقنا عبر الهاتف في أي وقت: التنظير الداخلي في مستشفى أولم الجامعي 0731-500-44632 0731-500-44632.
matchNotFoundPlusExamples	I am really sorry but I keep not finding answers for your questions. Here are some example questions I can answer! {{}} Do not forget you can contact our team by telephone at any time: Endoscopy at Ulm University Hospital 0731-500-44632.	Es tut mir wirklich leid, aber ich finde keine Antworten auf Ihre Fragen. Hier sind einige Beispielfragen, die ich beantworten kann! {{}} Vergessen Sie nicht, dass Sie unser Team jederzeit telefonisch erreichen können: Endoskopie am Universitätsklinikum Ulm 0731-500-44632.	Gerçekten üzgünüm ama sorularınıza cevap bulamıyorum. İşte cevaplayabileceğim bazı örnek sorular! {{}} Ekibimizle istediğiniz zaman telefonla iletişime geçebileceğinizi unutmayın: Ulm Üniversite Hastanesi Endoskopi 0731-500-44632.	Bardzo mi przykro, ale wciąż nie znajduję odpowiedzi na Twoje pytania. Oto kilka przykładowych pytań, na które mogę odpowiedzieć! {{}} Nie zapomnij, że w każdej chwili możesz skontaktować się z naszym zespołem telefonicznie: Endoskopia w Szpitalu Uniwersyteckim w Ulm 0731-500-44632.	Мені дуже шкода, але я не можу знайти відповіді на ваші запитання. Ось кілька прикладів питань, на які я можу відповісти! {{}} Не забувайте, що ви можете зв'язатися з нашою командою по телефону в будь-який час: Ендоскопія в Університетській лікарні Ульма 0731-500-44632.	Mi dispiace molto ma continuo a non trovare risposte alle vostre domande. Ecco alcuni esempi di domande a cui posso rispondere! {{}} Non dimentichi che può contattare il nostro team telefonicamente in qualsiasi momento: Endoscopia dell'Ospedale Universitario di Ulm 0731-500-44632.	Je suis vraiment désolée mais je ne trouve pas de réponses à vos questions. Voici quelques exemples de questions auxquelles je peux répondre ! {{}} N'oubliez pas que vous pouvez contacter notre équipe par téléphone à tout moment : Endoscopie à l'hôpital universitaire d'Ulm 0731-500-44632.	Lo siento mucho, pero sigo sin encontrar respuestas a sus preguntas. Aquí hay algunos ejemplos de preguntas que puedo responder. {{}} No olvide que puede ponerse en contacto con nuestro equipo por teléfono en cualquier momento: Endoscopia del Hospital Universitario de Ulm 0731-500-44632.	Мне очень жаль, но я не могу найти ответы на ваши вопросы. Вот несколько примеров вопросов, на которые я могу ответить! {{}} Не забывайте, что вы можете связаться с нашей командой по телефону в любое время: Эндоскопия в университетской клинике Ульма 0731-500-44632.	أنا آسف حقًا لكني لا أجد إجابات لأسئلتك. إليك بعض الأمثلة على الأسئلة التي يمكنني الإجابة عنها! {{}} لا تنسى أنه يمكنك الاتصال بفريقنا عبر الهاتف في أي وقت: التنظير الداخلي في مستشفى أولم الجامعي 0731-500-44632 0731-500-44632.
matchAlmostFound	Sorry but I could not understand your question right, did you mean any of these questions?	Entschuldigung, aber ich habe Ihre Frage nicht richtig verstanden, meinten Sie eine dieser Fragen?	Kusura bakmayın ama sorunuzu doğru anlayamadım, bu sorulardan herhangi birini mi kastettiniz?	Przepraszam, ale nie mogłem dobrze zrozumieć twojego pytania, czy miałeś na myśli któreś z tych pytań?	Вибачте, але я не зрозумів вашого запитання, ви мали на увазі якесь із цих запитань?	Scusa ma non ho capito bene la tua domanda, ti riferivi a qualcuna di queste domande?	Désolé, mais je n'ai pas bien compris votre question, vouliez-vous dire l'une de ces questions ?	Lo siento pero no he entendido bien su pregunta, ¿se refería a alguna de estas preguntas?	Извините, но я не смог правильно понять ваш вопрос, вы имели в виду любой из этих вопросов?	آسف ولكنني لم أستطع فهم سؤالك بشكل صحيح، هل تقصد أيًا من هذه الأسئلة؟
retryMatchAlmostFound	You have to write a number between 1 and {} to choose an option.	Sie müssen eine Zahl zwischen 1 und {} schreiben, um eine Option zu wählen.	Bir seçenek seçmek için 1 ile {} arasında bir sayı yazmanız gerekir.	Musisz wpisać liczbę od 1 do {}, aby wybrać opcję.	Щоб вибрати варіант, ви повинні написати число від 1 до {}.	Per scegliere un'opzione è necessario scrivere un numero compreso tra 1 e {}.	Vous devez écrire un nombre entre 1 et {} pour choisir une option.	Tienes que escribir un número entre 1 y {} para elegir una opción.	Чтобы выбрать вариант, нужно написать число от 1 до {}.	يجب عليك كتابة رقم بين 1 و {} لاختيار أحد الخيارات.
noneOfTheQuestionsOption	My question is not here.	Meine Frage ist nicht hier.	Benim sorum burada değil.	Moje pytanie nie jest tutaj.	Моє питання не тут.	La mia domanda non è qui.	Ma question n'est pas là.	Mi pregunta no está aquí.	Мой вопрос не здесь.	سؤالي ليس هنا.
errorMessage	I am sorry but an error has occurred, please contact the people responsible for the bot.	Es tut mir leid, aber es ist ein Fehler aufgetreten. Bitte wenden Sie sich an die Personen, die für den Bot verantwortlich sind.	Üzgünüm ama bir hata oluştu, lütfen bottan sorumlu kişilerle iletişime geçin.	Przykro mi, ale wystąpił błąd, prosimy o kontakt z osobami odpowiedzialnymi za bota.	Вибачте, але сталася помилка, будь ласка, зв'яжіться з людьми, відповідальними за бота.	Siamo spiacenti ma si è verificato un errore, si prega di contattare i responsabili del bot.	Je suis désolé mais une erreur s'est produite, veuillez contacter les personnes responsables du bot.	Lo siento pero se ha producido un error, por favor contacta con los responsables del bot.	Извините, но произошла ошибка, пожалуйста, свяжитесь с людьми, ответственными за бота.	أنا آسف ولكن حدث خطأ، يرجى الاتصال بالأشخاص المسؤولين عن الروبوت.
