{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
	Чи можу я сам приїхати додому в день обстеження?	Якщо ви отримали седативний засіб ("снодійну ін'єкцію" або "снодійну таблетку"), вам не можна самостійно керувати транспортним засобом протягом 12 годин. Дозволено користуватися громадським транспортом, таксі або супроводжуючою особою, яка вас відвезе. Відпочиньте і зведіть свою активність до мінімуму в цей день.
	Чи можу я сісти за кермо в день обстеження?	.
	Чи можна сідати за кермо після колоноскопії?	.
	Чи можу я керувати автомобілем після обстеження?	.
	На що потрібно звернути увагу після обстеження?	.
	Чи можу я після процедури повернутися додому самостійно?	.
	Чи безпечно водити машину після колоноскопії?	.
	Чи потрібно, щоб хтось відвозив мене додому?	.
	
	Чи можу я займатися спортом після обстеження?	Перед обстеженням ви можете займатися спортом, як зазвичай, але на день обстеження краще не планувати ніяких серйозних навантажень. Однак з наступного дня ви можете знову займатися спортом у звичному режимі, але, за необхідності, повільніше.
	Чи можу я займатися спортом?	.
	Чи можу я займатися спортом?	.
	Можна мені потренуватися?	.
	Чи можна займатися спортом після колоноскопії?	.
	Коли я зможу повернутися до тренувань?	.
	Чи можна займатися спортом після іспиту?	.
	
	Скільки часу потрібно для нормалізації перистальтики кишечника та випорожнень?	Може знадобитися кілька днів, щоб моторика кишечника і дефекація повернулися до норми.
	Як довго триває дискомфорт?	.
	Коли пройде дискомфорт?	.
	Скільки часу пройде, поки у мене знову буде нормальна дефекація?	Ви повністю випорожнили кишечник. Спочатку випорожнення повинні знову сформуватися. Це може зайняти до 10 днів, поки випорожнення повернеться до звичного для вас режиму.
	
	Що робити, якщо я помітив кров у випорожненнях, блювоту з кров'ю або підвищену температуру?	Якщо ви помітили кров у випорожненнях, блювоту з кров'ю або підвищену температуру, вам слід негайно звернутися до медичного працівника.
	Що можна їсти після обстеження?	В принципі, ви можете знову все їсти і пити. Однак ми рекомендуємо обережно знову вводити кишечник в їжу. Ви повністю спорожнили товсту кишку. Почніть з легкозасвоюваної їжі, наприклад, макаронів, супів, хліба тощо.
	Що можна їсти і пити після обстеження?	Як правило, ви можете знову їсти всі продукти. Однак, запитайте про це у лікаря. Ми рекомендуємо почати з легкозасвоюваної їжі та напоїв (наприклад, бутербродів, чаю). У день обстеження, як правило, слід уникати вживання алкоголю.
	Чи можу я продовжувати відвідувати прийоми після обстеження?	На день іспиту краще не планувати жодних важливих справ. Однак, з наступного дня ви зможете відвідувати прийоми у звичайному режимі
	Чи можу я прийняти всі свої ліки в день обстеження?	Якщо у вас виникли питання щодо прийому ліків, будь ласка, зверніться до нашого відділення ендоскопії або до вашого лікаря.
	
	Як швидко я зможу почуватися нормально після процедури?	Ви почнете почувати себе нормально вже через кілька годин після процедури, хоча може знадобитися день або два, щоб залишкові ефекти седативних препаратів повністю зникли.
	Як довго діє заспокійливе?	.
	
	Що відбувається після закінчення колоноскопії?	Після того, як ви відпочинете, лікар поспілкується з вами про результати тесту. Якщо були взяті зразки, аналіз зазвичай займає 2-3 робочі дні. Ви і ваш сімейний лікар будете проінформовані в письмовій формі.
	Коли я зможу повернутися додому?	Ви можете розраховувати провести в ендоскопічному центрі загалом 2 години. Звичайно, це може бути і коротше, і довше.
	Коли мені знову дозволять керувати автомобілем?	Якщо вам зробили "ін'єкцію снодійного", ви можете знову брати активну участь у дорожньому русі лише через 12 годин

// just before the colonoscopy
	Я хвилююся перед процедурою, що мені робити?	Якщо ви нервуєте перед процедурою, важливо зосередитися на тому, що ви можете контролювати, щоб впоратися зі своєю тривогою. По-перше, спробуйте зібрати якомога більше інформації про процедуру. Розуміння того, що буде відбуватися крок за кроком, може допомогти демістифікувати процес і зменшити ваші страхи. Розмова з вашим медичним працівником також може заспокоїти і внести ясність; він може відповісти на будь-які конкретні питання, які у вас виникнуть, і допомогти вирішити ваші побоювання.
	Як психологічно підготуватися до іспиту?	.
DontShowAsExample	Я хвилююся.	.
DontShowAsExample	Я хвилююся.	.
	
	Мені буде боляче?	У день обстеження ви отримаєте заспокійливе, щоб процес пройшов безболісно. Однак після процедури ви можете відчувати себе не дуже добре. Якщо протягом дня симптоми не покращуються, зверніться до відділення ендоскопії Університетської лікарні Ульма за телефоном 0731-500-44632.
	Що робити в день обстеження?	У день обстеження приготуйте 2-й пакетик проносного розчину. Почніть пити так, щоб бути готовими щонайменше за 3 години до прийому. Випийте розчин проносного великими ковтками протягом години. Для цього випийте щонайменше 1-2 літри прозорої рідини. Незважаючи на те, що пити його може бути дуже рано, дуже важливо досягти оптимальної чистоти кишечника.
	
	Куди я маю йти?	У день обстеження необхідно звернутися до Університетської лікарні Ульма, Oberer Eselsberg, Allee Albert-Einstein-Allee 23, Level 1, Endoscopy Registration Centre.
	Як потрапити до клініки?	.
	Чи потрібно спочатку йти в центр прийому пацієнтів?	Якщо це ваш перший візит у цьому кварталі, вам слід спочатку звернутися до центральної реєстратури, рівень 2, зі своїм направленням
	Де саме розташована клініка?	.
	Чи потрібно мені спочатку десь зареєструватися?	.
	Як потрапити у відділення ендоскопії?	.

// laxatives
	Що зроблять проносні?	Проносні препарати призведуть до збільшення випорожнень/діареї. Це бажаний ефект для обстеження і не повинен вас турбувати
	А як щодо довідок з роботи та лікарняних?	Як правило, ви отримаєте лікарняний лист на день обстеження. Ви можете повернутися до роботи в звичайному режимі на наступний день після обстеження. Однак, якщо симптоми не зникнуть на наступний день після обстеження, вам слід знову звернутися до лікаря.
	Чи зможу я повернутися до роботи?	Ви можете повернутися до роботи в звичайному режимі з наступного дня після обстеження. Однак, якщо симптоми не зникли на наступний день після обстеження, вам слід знову звернутися до лікаря.
	
	Чи справді я маю випити все?	Кишківник може бути достатньо очищений лише тоді, коли ви приймете розчин повністю.
	Чи потрібно випивати весь розчин?	.
	
	Чи можна випити все за один раз?	Будь ласка, дотримуйтесь інструкцій на упаковці проносного.
	Як приготувати продукт?	.
	
	Тепер у мене діарея. Це нормально?	Діарея - це абсолютно нормальне явище. Проносне очищає кишечник і повністю виводить фекалії з кишечника. Ми сприймаємо це як діарею.
DontShowAsExample	У мене діарея.	.
	У мене діарея, це нормально?	.
	У мене почастішали випорожнення/діарея відтоді, як я почав приймати дієтичну добавку. Це нормально?	.
	
	Як часто мені доводиться ходити в туалет?	Кількість разів, коли людина ходить до туалету, сильно варіюється, тому що кожен кишечник реагує по-різному. Але ви помітите, коли кишечник спорожниться.
	Як довго мені потрібно перебувати біля туалету?	.
	
	Чому я маю пити його саме так?	Тепер кишечник повністю спорожнений. Тільки після цього лікар може зробити правильний висновок про всі ділянки вашого кишечника.
	Я вже кілька разів був у туалеті. Нічого не виходить.	Якщо після завершення проносних заходів ваші випорожнення нагадують ромашковий чай і більше не видно твердих частинок, ви добре підготовлені до колоноскопії.
	
	Коли слід починати приймати проносне?	Перше проносне потрібно випити за день до обстеження о 17:00. Випийте розчин проносного великими ковтками протягом години і запийте його щонайменше 1-2 літрами прозорої рідини. У день обстеження проносне слід випити за 3 години до прийому. Пийте його так само, як і першого разу, і не забувайте пити прозору рідину. Незважаючи на те, що пити його може бути дуже рано, дуже важливо досягти оптимальної чистоти кишечника.
	Чи потрібно приймати проносне?	.
	Коли я маю розпочати ініціаційні заходи?	.
	Коли слід починати пити проносний розчин?	.
	О котрій годині слід приймати перший пакетик?	.
	
	Коли слід випити перший розчин?	Перше проносне слід випити за день до прийому. Перемішайте 1-й пакетик розчину проносного. Почніть пити о 17:00. Випийте розчин проносного великими ковтками протягом години. Випивайте щонайменше 1-2 літри прозорої рідини.
	Коли я повинен випити перший розчин?	.
	Коли слід випити перше проносне?	.
	Коли я повинен випити перше проносне?	.
	Коли слід починати приймати проносне?	.
	
	Чому я повинен пити двічі?	Розподіл дефекації між вечором напередодні обстеження та днем обстеження покращує чистоту кишківника. Також не потрібно пити так багато за один раз.
	Чому мені потрібно випити дві дози?	.
	
	Коли приймати другий пакетик проносного?	У день дослідження випийте 2-гу половину проносного за 3 години до призначеного часу.
	Коли приймати 2-й пакетик проносного?	.
	Коли приймати другий пакетик проносного?	.
	
	Як повинні виглядати мої випорожнення після проносних заходів?	Ваші випорожнення повинні нагадувати ромашковий чай і більше не містити твердих частинок.
	Що робити, якщо після проносного випорожнення випорожнення виглядають не так, як повинні?	Будь ласка, повідомте нам про це після прибуття в центр ендоскопії.
	
// bring to examination
	Що потрібно взяти з собою на обстеження?	Якщо не узгоджено інше, підписаний інформаційний лист, поточні аналізи крові (коагулограма і загальний аналіз крові не старше 10 днів) і алергологічний паспорт, якщо є (будь ласка, повідомте лікаря про будь-яку непереносимість ліків до початку обстеження). Також майте на увазі, що рекомендується взяти з собою теплі шкарпетки.
	Що потрібно взяти з собою на обстеження?	.
	Що потрібно взяти з собою на процедуру?	.
	Що потрібно взяти з собою на процедуру?	.
	Що взяти з собою на колоноскопію?	.
	Що потрібно взяти з собою на колоноскопію?	.
	Що потрібно взяти з собою?	.
	Що потрібно взяти з собою на обстеження?	.
	Чи потрібно щось приносити на обстеження?	.
	
	Які показники крові потрібні для колоноскопії?	Для проведення колоноскопії необхідний невеликий аналіз крові (тромбоцити) і показники коагуляції (швидке, ПТВ).

	Навіщо брати з собою теплі шкарпетки?	Шкарпетки стануть у пригоді, якщо у вас мерзнуть ноги.
	Чому теплі шкарпетки?	.

// diet information
ImageHighFibreFood	Що таке їжа з високим вмістом клітковини?	Прикладами продуктів з високим вмістом клітковини є дині, ківі, помідори, виноград, полуниця, мюслі, цільнозернові продукти, кабачки, салат, цибуля-порей, квасоля тощо.
ImageHighFibreFood	Чи можете ви навести приклади продуктів з високим вмістом клітковини?	.
ImageHighFibreFood	Наведіть приклади продуктів з високим вмістом клітковини.	.
ImageHighFibreFood	Які продукти містять багато клітковини?	.
	
ImageSeedFood	Що таке продукти, що містять насіння, та овочі, багаті на клітковину?	Деякі приклади продуктів, що містять насіння, та овочів, багатих на клітковину: диня, ківі, помідори, виноград, полуниця, мюслі, продукти VK, мак, кабачки, салат, цибуля-порей та квасоля.
ImageSeedFood	Яких продуктів з насінням мені слід уникати?	.
ImageSeedFood	Які продукти містять насіння?	.
ImageSeedFood	Чи можете ви навести приклади продуктів, що містять насіння?	.
ImageSeedFood	Наведіть приклади продуктів, що містять насіння.	.
ImageSeedFood	Які продукти містять насіння?	.
	
ImageLowFibreFood	Що таке борошно з низьким вмістом клітковини?	Прикладом їжі з низьким вмістом клітковини є прозорий суп з локшиною або картоплею.
ImageLowFibreFood	Що таке продукти з низьким вмістом клітковини?	Прикладами їжі з низьким вмістом клітковини є прозорий суп, супи з локшиною, картопляне пюре і білий хліб.
ImageHighFibreFood	Де знаходиться клітковина?	Клітковина міститься в помідорах, кабачках, салаті, цибулі-пореї, квасолі тощо.
ImageSeedFood	Чому я повинен уникати насіння?	Насіння може засмітити ендоскоп і значно погіршити обстеження.
ImageHighFibreFood	Чому я повинен уникати клітковини?	Продукти, що містять клітковину, довше затримуються в кишечнику. Вони значно обмежують зір під час обстеження.

ImageColouredDrink	Що таке забарвлені рідини?	Забарвлені рідини - це всі рідини, які ви не можете бачити наскрізь. До них належать кава, чорний чай, молоко, кола, темний фруктовий чай і червоне вино.
ImageColouredDrink	Що відноситься до кольорових напоїв?	.
ImageColouredDrink	Що таке підфарбований напій?	.
ImageColouredDrink	Що таке пофарбована рідина?	.
ImageColouredDrink DontShowAsExample	Що таке темний напій?	.
ImageColouredDrink DontShowAsExample	Що таке темна рідина?	.
ImageColouredDrink DontShowAsExample	Що таке кольоровий напій?	.
ImageColouredDrink DontShowAsExample	Що таке кольорова рідина?	.

ImageClearDrink	Що таке прозорі рідини?	Прозорі рідини - це, наприклад, вода, яблучний сік, світлі чаї.
ImageClearDrink	Що означає прозорі рідини?	.
ImageClearDrink	Що таке прозорий напій?	.
ImageClearDrink	Що таке прозора рідина?	.
ImageClearDrink	Що таке прозорий напій?	.
ImageClearDrink	Що таке прозора рідина?	.

ImageMealExamples	Наведіть приклади страв.	Приклади страв з низьким вмістом клітковини без насіння показані на цьому зображенні.
ImageMealExamples DontShowAsExample	Приклад харчування.	.

// preparation
ImageTable	Коли я повинен почати звертати увагу на те, що я їм/п'ю?	За три дні до тесту слід уникати продуктів, що містять насіння та овочі, багаті на клітковину. Існують додаткові речі, яких слід уникати за 1 день до тесту
ImageTable	Що робити чи не робити за 3 дні до обстеження?	.
ImageTable	Чи потрібно звертати увагу на щось у харчуванні?	.
ImageTable	Яких продуктів слід уникати в дні, що передують іспиту?	.
ImageTable	Якої дієти слід дотримуватися за три дні до іспиту?	.

	Чому я не можу їсти їжу з високим вмістом клітковини та жирів?	Важливо не вживати їжу з високим вмістом клітковини і жирів за 3 дні до прийому, щоб не погіршити зір під час колоноскопії.
	Чому я не можу пити підфарбовані рідини?	Кольорові рідини можуть погіршити зір під час обстеження.
	
ImageTable	Що ще мені не можна робити?	За день до обстеження не слід вживати їжу, багату на клітковину або жирну, а також не пити забарвлені рідини.
ImageTable	Що робити чи не робити за день до обстеження?	Уникайте кольорових напоїв (прозорі рідини дозволені), їжі з високим вмістом клітковини та жирів, а також алкоголю. На обід, будь ласка, з'їжте їжу з низьким вмістом клітковини.
	
ImageClearDrink	Які напої можна вживати перед колоноскопією?	Перед колоноскопією можна пити будь-яку прозору рідину.

// copy questions (these are pasted into the next sections)
ImageTable CopyQuestionWhatToDo	І що тепер?	Зараз вам не потрібно нічого робити, підготовка починається за 3 дні до прийому. Потім вам потрібно буде почати дієту з низьким вмістом клітковини і без насіння.
ImageTable CopyQuestionWhatToDo	Що мені потрібно зробити?	.
ImageTable CopyQuestionWhatToDo	Що мені робити?	.

ImageTable CopyQuestionFood	Яких продуктів слід уникати?	Зараз ви можете харчуватися як зазвичай, підготовка починається за 3 дні до прийому. Потім вам доведеться почати дієту з низьким вмістом клітковини і без насіння.
ImageTable CopyQuestionFood DontShowAsExample	Яка дієта?	.
ImageTable CopyQuestionFood	Що таке дієта?	.
ImageTable CopyQuestionFood	Що я маю їсти?	.
ImageTable CopyQuestionFood	Що можна їсти?	.
ImageTable CopyQuestionFood	Що мені можна їсти?	.
ImageTable CopyQuestionFood DontShowAsExample	Можна мені щось з'їсти?	.
ImageTable CopyQuestionFood DontShowAsExample	Я хочу щось з'їсти.	.
ImageTable CopyQuestionFood	Чи можна їсти продукти, багаті на клітковину, перед процедурою?	.
ImageTable CopyQuestionFood	Що не можна їсти за три дні до іспиту?	.
ImageTable CopyQuestionFood	Чи є якісь овочі, які я повинен пропустити?	.

ImageTable CopyQuestionDrink DontShowAsExample	Можна мені випити?	Зараз ви можете пити все, що хочете, але за день до обстеження, будь ласка, утримайтеся від вживання забарвлених рідин (наприклад, кави, чорного чаю, молока, коли, темного фруктового чаю, червоного вина).
ImageTable CopyQuestionDrink	Що я можу випити?	За 1 день до обстеження можна пити все, що завгодно. Починаючи з цього дня, будь ласка, утримайтеся від вживання кольорових рідин (наприклад, кави, чорного чаю, молока, коли, темного фруктового чаю, червоного вина)
ImageColouredDrink CopyQuestionDrink	Чи є якісь рідини, яких мені слід уникати?	.
ImageColouredDrink CopyQuestionDrink	Чи можна пити каву або чай за день до іспиту?	.

ImageClearDrink CopyQuestionDrink	Що мені можна пити?	Всі прозорі рідини (наприклад, вода, яблучний сік, світлі чаї) дозволені в будь-якій кількості. Ось приклад того, що можна пити.
ImageClearDrink CopyQuestionDrink DontShowAsExample	Можна мені взагалі випити?	.

CopyQuestionAlcohol	Чи можу я вживати алкоголь?	Не можна вживати алкоголь в день прийому і напередодні. Також не рекомендується вживати його на наступний день після процедури.
	Чи можу я пити воду?	Ви можете пити воду коли завгодно, адже це прозора рідина, яка не погіршує видимість під час колоноскопії.
	
CopyQuestionLaxatives	Це огидно на смак.	Якщо ви маєте на увазі проносні препарати, то зараз їх пити не варто. Однак перший розчин слід почати пити у другій половині дня напередодні колоноскопії.
CopyQuestionLaxatives	Поганий смак.	.
CopyQuestionLaxatives	Який жахливий смак.	.
CopyQuestionLaxatives	Жахливий смак.	.
CopyQuestionLaxatives	Це жахливий смак, що я можу зробити?	.
CopyQuestionLaxatives	Чи можна зробити цей розчин смачнішим?	.
CopyQuestionLaxatives	Чи є у вас поради, як полегшити прийом проносного?	.

3

CopyQuestionWhatToDo ImageTable	.	Зараз вам слід зосередитися на своєму раціоні. Не їжте продукти, що містять насіння або продукти з високим вмістом клітковини.
CopyQuestionFood ImageBadFood	.	Вам більше не слід їсти продукти, що містять насіння або продукти з високим вмістом клітковини. Ось приклад того, чого слід уникати.
CopyQuestionDrink	.	Зараз ви можете пити все, що хочете, але за день до колоноскопії, будь ласка, утримайтеся від вживання кольорових рідин (наприклад, кави, чорного чаю, молока, коли, темного фруктового чаю, червоного вина).

//// Second day has the same considerations as third day
2	.
	
1

CopyQuestionWhatToDo ImageTable	.	Відтепер, окрім відмови від продуктів, що містять насіння та продукти з високим вмістом клітковини, вам також слід уникати продуктів з високим вмістом жиру та кольорових напоїв. Також рекомендується уникати алкоголю.
CopyQuestionFood ImageBadFood	.	Відтепер, окрім продуктів, що містять насіння або продукти з високим вмістом клітковини, вам також слід уникати продуктів з високим вмістом жиру. Ось приклад того, чого вам слід уникати.
CopyQuestionDrink ImageColouredDrink	.	Будь ласка, утримайтеся від вживання кольорових рідин (наприклад, кави, чорного чаю, молока, коли, темного фруктового чаю, червоного вина), оскільки вони можуть погіршити зір під час обстеження. Ось приклад того, чого слід уникати.
CopyQuestionAlcohol	.	У ці дні не рекомендується вживати алкоголь через процедуру.
CopyQuestionLaxatives	.	На жаль, смак не є видатним. Ви маєте рацію. Ось кілька порад: Перед тим, як пити, поставте розчин у пляшці в холодильник. Ви також можете використовувати соломинку. Ви також можете розбавити лікер світлим сиропом або яблучним соком.

	Чи потрібно завтра випити обидві половинки?	Ви повинні випити 2-гу половину щонайменше за 3 години до призначення колоноскопії.

0

CopyQuestionWhatToDo ImageTable	.	Вранці ви повинні постити, тому постарайтеся не їсти до завершення процедури. Однак за 2 години до початку колоноскопії можна пити чистий яблучний сік, ромашковий чай і воду.
CopyQuestionFood	.	.
CopyQuestionDrink ImageClearDrink	.	Будь ласка, утримайтеся від вживання кольорових рідин (наприклад, кава, чорний чай, молоко, кола, темний фруктовий чай, червоне вино), оскільки вони можуть погіршити зір під час обстеження. Останні 2 години перед обстеженням намагайтеся нічого не пити. Ось приклад того, що можна пити.
CopyQuestionAlcohol	.	Сьогодні не варто вживати алкоголь.
CopyQuestionLaxatives	.	На жаль, смак не є видатним. Ви маєте рацію. Ось кілька порад: Перед тим, як пити, поставте розчин у пляшці в холодильник. Ви також можете використовувати соломинку. Ви також можете розбавити лікер світлим сиропом або яблучним соком.
	
-1

CopyQuestionWhatToDo	.	Після того, як ви відпочинете, лікар поспілкується з вами про результати тесту. Якщо були взяті зразки, аналіз зазвичай займає 2-3 робочі дні. Ви і ваш сімейний лікар будете проінформовані в письмовій формі. В ендоскопічному центрі ви можете розраховувати провести загалом 2 години. Звичайно, це може бути і коротше, і довше.
CopyQuestionFood	.	В принципі, ви можете їсти і пити все, що завгодно. Однак ми рекомендуємо обережно знову вводити кишечник в їжу. Ви повністю спорожнили товсту кишку. Почніть з легкозасвоюваної їжі, наприклад, макаронів, супів, хліба тощо.
CopyQuestionDrink	.	Після виписки з ендоскопії немає ніяких обмежень щодо того, що можна пити. Але навіть після цього рекомендується не пити сьогодні.
CopyQuestionAlcohol	.	Рекомендується не пити його на наступний день після процедури.
	Можна я знову все вип'ю?	Після виписки з ендоскопії немає ніяких обмежень щодо того, що можна пити.
	
// bowels after the examination
	Я відчуваю себе таким роздутим. Це нормально?	Для обстеження лікар використовував вуглекислий газ, щоб трохи розширити кишечник. Цей газ відповідає за відчуття здуття живота. Трохи неприємне, але нормальне. Однак, якщо відчуття не проходить або погіршується, зверніться до центру ендоскопії. Ми допоможемо вам далі.
	У мене болить живіт.	Якщо симптоми не покращуються протягом дня, зверніться до лікаря.
	У мене кров у калі. Що мені робити?	Якщо під час обстеження видаляються поліпи, в рідкісних випадках може виникнути післяопераційна кровотеча. Будь ласка, звертайтеся у відділення ендоскопії Університетської лікарні Ульма 0731-500-44632!
	Я стікаю кров'ю.	Протягом перших 10 днів може виникнути кровотеча. Якщо це станеться, будь ласка, зв'яжіться з нами. Цей період дуже варіабельний і відрізняється від людини до людини

	У мене лихоманка.	Якщо ви відчуваєте себе погано, будь ласка, негайно зв'яжіться з відділенням ендоскопії в Університетській лікарні Ульма 0731-500-44632.
	Я блюю кров'ю.	.
