{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
	ماذا يجب أن أفعل إذا لاحظت وجود دم في البراز أو تقيأت دمًا أو أصبت بالحمى؟	إذا لاحظت وجود دم في البراز أو تقيأت دماً أو أصبت بالحمى، يجب عليك الاتصال بأخصائي طبي على الفور.
	ما الذي يمكنني تناوله بعد الفحص؟	من حيث المبدأ، يمكنك أن تأكل وتشرب كل شيء مرة أخرى. ومع ذلك، نوصي بإعادة إدخال الأمعاء إلى الطعام بعناية. لقد أفرغت القولون تماماً. ابدأ بالأطعمة سهلة الهضم مثل المعكرونة والحساء والخبز وما إلى ذلك.
	ما الذي يمكنني تناوله وشربه بعد الفحص؟	كقاعدة عامة، يمكنك تناول جميع الأطعمة مرة أخرى. ومع ذلك، اسأل الفاحص. نوصي بالبدء بالأطعمة والمشروبات سهلة الهضم (مثل السندويشات والشاي). يجب تجنب الكحول بشكل عام في يوم الفحص.
	هل لا يزال بإمكاني حضور المواعيد بعد الفحص؟	من الأفضل عدم التخطيط لأي أنشطة رئيسية في يوم الفحص. ومع ذلك، ستتمكن من حضور المواعيد كالمعتاد اعتباراً من اليوم التالي
	هل يمكنني تناول جميع أدويتي في يوم الفحص؟	إذا كانت لديك أي أسئلة حول تناول الأدوية، يُرجى الاتصال بقسم التنظير الداخلي أو الطبيب المعالج.
	
	متى سأشعر بالوضع الطبيعي بعد العملية؟	يجب أن تبدأ في الشعور بأنك تشعر بأنك في حالة طبيعية في غضون ساعات قليلة بعد الإجراء، على الرغم من أن الأمر قد يستغرق يوماً أو يومين حتى تزول أي آثار متبقية من المسكنات بالكامل.
	كم من الوقت يستغرق زوال مفعول المسكّن؟	.
	
	ماذا يحدث بعد انتهاء تنظير القولون؟	بمجرد أن تستريح، سيتحدث معك الطبيب عن نتائج الاختبار. إذا تم أخذ عينات، فعادةً ما يستغرق التحليل من 2-3 أيام عمل. سيتم إبلاغك أنت وطبيب العائلة خطياً.
	متى يمكنني العودة إلى المنزل؟	يمكنك توقع قضاء ساعتين في مركز التنظير الداخلي. يمكن بالطبع أن تكون أقصر أو أطول.
	متى سيُسمح لي بالقيادة مرة أخرى؟	إذا كنت قد حصلت على "حقنة نوم"، فلا يجوز لك المشاركة بنشاط في حركة المرور على الطريق مرة أخرى إلا بعد 12 ساعة

// just before the colonoscopy
	أشعر بالتوتر بشأن الإجراء، ماذا يجب أن أفعل؟	إذا كنت تشعر بالتوتر بشأن الإجراء، فمن المهم التركيز على ما يمكنك التحكم فيه للسيطرة على قلقك. أولاً، حاول أولاً جمع أكبر قدر ممكن من المعلومات عن الإجراء. يمكن أن يساعد فهم ما سيحدث خطوة بخطوة في إزالة الغموض عن العملية وتقليل مخاوفك. كما أن التحدث مع مقدم الرعاية الصحية الخاص بك يمكن أن يوفر لك الطمأنينة والوضوح؛ حيث يمكنه الإجابة عن أي أسئلة محددة لديك والمساعدة في معالجة مخاوفك.
	كيف يمكنني الاستعداد ذهنياً للامتحان؟	.
DontShowAsExample	أنا متوتر.	.
DontShowAsExample	أنا قلق.	.
	
	هل سيؤذيني؟	ستتلقى في يوم الفحص مسكناً حتى تكون العملية غير مؤلمة. ومع ذلك، من الممكن ألا تشعر بتحسن بعد العملية. إذا لم تتحسن الأعراض خلال اليوم، يُرجى الاتصال بالمناظير في مستشفى أولم الجامعي 0731-500-44632.
	ماذا أفعل يوم الامتحان؟	في يوم الفحص، قم بتحضير الكيس الثاني من المحلول الملين. ابدأ بالشرب بحيث تكون جاهزاً قبل 3 ساعات على الأقل من موعدك. اشرب المحلول الملين في رشفات كبيرة في غضون ساعة. للقيام بذلك، اشرب ما لا يقل عن 1-2 لتر من السوائل الصافية. على الرغم من أن الوقت قد يكون مبكراً جداً عند شربه، إلا أنه من المهم جداً تحقيق النظافة المثلى للأمعاء.
	
	إلى أين يجب أن أذهب؟	في يوم الفحص، يجب عليك الذهاب إلى مستشفى أولم الجامعي، أوبيرير إيسلسبيرغ، ألبرت أينشتاين-ألي 23، المستوى 1، مركز تسجيل التنظير الداخلي
	كيف أذهب إلى العيادة؟	.
	هل يجب أن أذهب إلى مركز استقبال المرضى أولاً؟	إذا كانت هذه أول زيارة لك في هذا الربع، يجب عليك أولاً التوجه إلى قسم القبول المركزي، المستوى 2، مع قسيمة الإحالة
	أين تقع العيادة بالضبط؟	.
	هل أحتاج إلى تسجيل الدخول في مكان ما أولاً؟	.
	كيف أصل إلى قسم التنظير الداخلي؟	.

// laxatives
	ماذا ستفعل الملينات؟	ستؤدي الملينات إلى زيادة حركة الأمعاء/الإسهال. هذا تأثير مرغوب فيه للفحص ولا داعي للقلق
	ماذا عن شهادات العمل والمرض؟	وكقاعدة عامة، سوف تحصل على مذكرة مرضية ليوم الفحص. يمكنك العودة إلى العمل كالمعتاد اعتباراً من اليوم التالي ليوم الفحص. ومع ذلك، إذا استمرت الأعراض لديك في اليوم التالي للفحص، يجب عليك زيارة طبيبك مرة أخرى.
	هل سأتمكن من العودة إلى العمل؟	يمكنك العودة إلى العمل كالمعتاد من اليوم التالي ليوم الفحص. ومع ذلك، إذا استمرت الأعراض لديك في اليوم التالي للفحص، يجب عليك مراجعة طبيبك مرة أخرى.
	
	هل عليّ حقاً أن أشرب كل شيء؟	لا يمكن تطهير الأمعاء بشكل كافٍ إلا إذا تناولت المحلول بالكامل.
	هل من الضروري شرب المحلول بالكامل؟	.
	
	هل يمكنني شربه كله مرة واحدة؟	يرجى الالتزام بالتعليمات الموجودة في عبوة الملينات.
	كيف يمكنني تحضير المنتج؟	.
	
	أعاني الآن من الإسهال. هل هذا طبيعي؟	من الطبيعي تماماً الإصابة بالإسهال. يقوم الملين بتنظيف الأمعاء وطرد البراز بالكامل من الأمعاء. ونحن نعتبر ذلك إسهالاً.
DontShowAsExample	أعاني من الإسهال.	.
	أعاني من الإسهال، هل هذا متوقع؟	.
	لقد زادت حركة الأمعاء/الإسهال لديّ منذ أن بدأت في تناول المكمل الغذائي. هل هذا طبيعي؟	.
	
	كم مرة يجب أن أذهب إلى الحمام؟	تختلف كمية المرات التي يذهب فيها الشخص إلى الحمام بشكل كبير لأن كل أمعاء تتفاعل بشكل مختلف. لكنك ستلاحظ متى تفرغ الأمعاء.
	كم من الوقت سأحتاج إلى البقاء بالقرب من الحمام؟	.
	
	لماذا يجب أن أشربه هكذا؟	يتم الآن إفراغ الأمعاء بالكامل. عندها فقط يمكن للفاحص أن يصدر حكماً جيداً على جميع المناطق في الأمعاء.
	لقد ذهبت إلى الحمام عدة مرات حتى الآن. لا شيء يخرج	إذا كان برازك يشبه شاي البابونج بعد الانتهاء من إجراءات الملينات ولم يعد هناك المزيد من المواد الصلبة المرئية، فأنت مستعد جيدًا لتنظير القولون.
	
	متى يجب أن أبدأ بالملين؟	يجب عليك شرب الملين الأول في اليوم السابق للفحص في الساعة 17:00. اشرب المحلول الملين في رشفات كبيرة في غضون ساعة وشرب ما لا يقل عن 1-2 لتر من السوائل الصافية. في يوم الفحص يجب عليك شرب الملين قبل 3 ساعات من موعد الفحص. اشربه بنفس الطريقة الأولى ولا تنسى شرب السوائل الصافية. على الرغم من أن الوقت قد يكون مبكراً جداً عند شربه، إلا أنه من المهم جداً تحقيق النظافة المثلى للأمعاء.
	هل يجب أن أتناول مليناً؟	.
	متى يجب أن أبدأ إجراءات البدء؟	.
	متى يجب أن أبدأ بشرب المحلول الملين؟	.
	في أي وقت يجب أن أتناول الكيس الأول؟	.
	
	متى يجب أن أشرب المحلول الأول؟	يجب أن تشرب الملين الأول في اليوم السابق للموعد. قلّب الكيس الأول من المحلول الملين. ابدأ الشرب في الساعة 17:00. اشرب المحلول الملين في رشفات كبيرة خلال ساعة. اشرب ما لا يقل عن 1-2 لتر من السوائل الصافية.
	متى يجب أن أشرب المحلول الأول؟	.
	متى يجب أن أشرب أول ملين؟	.
	متى يجب أن أشرب أول ملين؟	.
	متى يجب أن أبدأ بتناول الملين؟	.
	
	لماذا يجب أن أشرب مرتين؟	إن تقسيم التبرز بين المساء الذي يسبق الفحص ويوم الفحص يحسن من نظافة أمعائك. كما أنك لن تضطر إلى شرب الكثير دفعة واحدة.
	لماذا أحتاج إلى شرب جرعتين؟	.
	
	متى أتناول الكيس الثاني من الملين؟	في يوم الفحص، اشرب النصف الثاني من الملين قبل 3 ساعات من الموعد المحدد.
	متى أتناول الكيس الثاني من الملين؟	.
	متى أتناول الكيس الآخر من الملين؟	.
	
	كيف ينبغي أن يبدو شكل البراز بعد إجراءات الملين؟	يجب أن يشبه برازك شاي البابونج ولا يحتوي على أي مواد صلبة.
	ماذا أفعل إذا لم يبدو البراز كما ينبغي بعد تناول الملين؟	يُرجى إبلاغنا بذلك عند الوصول إلى مركز التنظير الداخلي.
	
// bring to examination
	ما الذي يجب أن أحضره معي إلى الفحص؟	ما لم يتم الاتفاق على خلاف ذلك، ورقة المعلومات الموقعة وقيم الدم الحالية (تجلط الدم وتعداد الدم لا يزيد عمره عن 10 أيام) وجواز سفر الحساسية إذا كان متاحاً (يرجى إبلاغ الفاحص بأي حساسية من الأدوية قبل بدء الفحص). ضع في اعتبارك أيضاً أنه يوصى بإحضار جوارب دافئة.
	ما الذي يجب أن أحضره معي إلى الفحص؟	.
	ما الذي ينبغي أن أحضره معي إلى الإجراء؟	.
	ما الذي يجب أن أحضره معي إلى الإجراء؟	.
	ما الذي يجب أن أحضره معي إلى تنظير القولون؟	.
	ما الذي يجب أن أحضره معي إلى تنظير القولون؟	.
	ما الذي أحتاج إلى إحضاره معي؟	.
	ما الذي أحتاج إلى إحضاره معي إلى الفحص؟	.
	هل أحتاج إلى إحضار أي شيء معي إلى الفحص؟	.
	
	ما هي قيم الدم التي أحتاجها لإجراء تنظير القولون؟	يلزم إجراء تعداد صغير للدم (الخثرات) وقيم التخثر (سريع، PTT) لتنظير القولون.

	لماذا أحتاج إلى إحضار جوارب دافئة؟	الجوارب مفيدة إذا كنت تميل إلى برودة القدمين.
	لماذا الجوارب الدافئة؟	.

// diet information
ImageHighFibreFood	ما هي الأغذية الغنية بالألياف؟	ومن الأمثلة على الأطعمة الغنية بالألياف البطيخ والكيوي والطماطم والعنب والفراولة والموسلي ومنتجات الحبوب الكاملة والكوسة والخس والكراث والفاصوليا وغيرها.
ImageHighFibreFood	هل يمكنك إعطائي أمثلة على الأطعمة الغنية بالألياف؟	.
ImageHighFibreFood	أعطني أمثلة على الأطعمة الغنية بالألياف.	.
ImageHighFibreFood	ما هي الأطعمة الغنية بالألياف؟	.
	
ImageSeedFood	ما هي الأطعمة التي تحتوي على البذور والخضروات الغنية بالألياف؟	بعض الأمثلة على الأطعمة المحتوية على البذور والخضروات الغنية بالألياف هي البطيخ والكيوي والطماطم والعنب والفراولة والموسلي ومنتجات VK وبذور الخشخاش والكوسة والخس والكراث والفاصوليا.
ImageSeedFood	ما الأطعمة التي تحتوي على بذور يجب أن أتجنبها؟	.
ImageSeedFood	ما الطعام الذي يحتوي على بذور؟	.
ImageSeedFood	هل يمكنك إعطائي أمثلة على الأطعمة التي تحتوي على بذور؟	.
ImageSeedFood	أعطني أمثلة على الأطعمة التي تحتوي على بذور.	.
ImageSeedFood	ما هو الطعام الذي يحتوي على بذور؟	.
	
ImageLowFibreFood	ما هي الوجبة منخفضة الألياف؟	ومن أمثلة الوجبات قليلة الألياف الحساء الصافي مع المعكرونة أو البطاطس.
ImageLowFibreFood	ما هي الأطعمة منخفضة الألياف؟	ومن الأمثلة على الأطعمة منخفضة الألياف الحساء الصافي والحساء مع النودلز والبطاطا المهروسة والخبز الأبيض.
ImageHighFibreFood	أين توجد الألياف؟	توجد الألياف في الطماطم، والكوسة، والخس، والكراث، والفاصوليا، وما إلى ذلك.
ImageSeedFood	لماذا يجب أن أتجنب البذور؟	يمكن أن تسد البذور المنظار وتضعف الفحص بشكل كبير.
ImageHighFibreFood	لماذا يجب أن أتجنب الألياف؟	تبقى الأطعمة التي تحتوي على الألياف في الأمعاء لفترة أطول. فهي تقيد الرؤية بشكل كبير أثناء الفحص.

ImageColouredDrink	ما هي السوائل المصبوغة؟	السوائل المصبوغة هي جميع السوائل التي لا يمكنك الرؤية من خلالها. وتشمل هذه السوائل القهوة والشاي الأسود والحليب والكولا وشاي الفاكهة الداكنة والنبيذ الأحمر.
ImageColouredDrink	ما الذي يندرج تحت المشروبات الملونة؟	.
ImageColouredDrink	ما هو المشروب المصبوغ؟	.
ImageColouredDrink	ما هو السائل المصبوغ؟	.
ImageColouredDrink DontShowAsExample	ما هو المشروب الداكن؟	.
ImageColouredDrink DontShowAsExample	ما هو السائل الداكن؟	.
ImageColouredDrink DontShowAsExample	ما هو المشروب الملون؟	.
ImageColouredDrink DontShowAsExample	ما هو السائل الملون؟	.

ImageClearDrink	ما هي السوائل الصافية؟	السوائل الصافية مثل الماء وعصير التفاح والشاي فاتح اللون.
ImageClearDrink	ماذا تعني السوائل الصافية؟	.
ImageClearDrink	ما هو المشروب الصافي؟	.
ImageClearDrink	ما هو السائل الصافي؟	.
ImageClearDrink	ما هو المشروب الشفاف؟	.
ImageClearDrink	ما هو السائل الشفاف؟	.

ImageMealExamples	أعطني أمثلة على الوجبات.	تظهر في هذه الصورة أمثلة على وجبات قليلة الألياف بدون بذور.
ImageMealExamples DontShowAsExample	مثال على الوجبات.	.

// preparation
ImageTable	متى يجب أن أبدأ في الانتباه إلى ما أتناوله/ما أشربه من طعام/شراب؟	من ثلاثة أيام قبل الاختبار، يجب تجنب الأطعمة التي تحتوي على البذور والخضروات الغنية بالألياف. هناك أشياء إضافية يجب تجنبها قبل يوم واحد من الاختبار
ImageTable	ما الذي يجب أن أفعله أو لا أفعله قبل 3 أيام من الفحص؟	.
ImageTable	هل أحتاج إلى الاهتمام بأي شيء من الناحية الغذائية؟	.
ImageTable	ما الأطعمة التي يجب أن أتجنبها في الأيام التي تسبق الامتحان؟	.
ImageTable	ما النظام الغذائي الذي يجب أن أتبعه قبل الامتحان بثلاثة أيام؟	.

	لماذا لا يمكنني تناول طعام غني بالألياف والدهون؟	من المهم ألا تتناول طعامًا غنيًا بالألياف والدهون قبل 3 أيام من الموعد حتى لا تضعف الرؤية أثناء تنظير القولون.
	لماذا لا يمكنني شرب السوائل المصبوغة؟	قد تضعف السوائل الملونة الرؤية أثناء الفحص.
	
ImageTable	ما الذي لا يُسمح لي بفعله أيضاً؟	في اليوم الذي يسبق الفحص، يجب عدم تناول أي وجبات غنية بالألياف أو غنية بالدهون أو شرب السوائل الملونة.
ImageTable	ما الذي يجب أن أفعله أو لا أفعله قبل يوم واحد من الامتحان؟	تجنب المشروبات الملونة (يُسمح بالسوائل الصافية) والوجبات الغنية بالألياف والدهون والكحول. يُرجى تناول وجبة قليلة الألياف على الغداء.
	
ImageClearDrink	ما أنواع المشروبات المسموح بها قبل تنظير القولون؟	يمكنك شرب أي نوع من السوائل الصافية قبل تنظير القولون.

// copy questions (these are pasted into the next sections)
ImageTable CopyQuestionWhatToDo	ماذا الآن؟	في الوقت الحالي ليس عليك القيام بأي شيء، يبدأ التحضير قبل 3 أيام من الموعد. ثم سيتعين عليك البدء في اتباع نظام غذائي منخفض الألياف وخالٍ من البذور.
ImageTable CopyQuestionWhatToDo	ماذا عليَّ أن أفعل؟	.
ImageTable CopyQuestionWhatToDo	ماذا يجب أن أفعل؟	.

ImageTable CopyQuestionFood	ما الأطعمة التي يجب أن أتجنبها؟	يمكنك الآن تناول الطعام كالمعتاد، ويبدأ التحضير قبل 3 أيام من الموعد. ثم سيتعين عليك البدء في اتباع نظام غذائي منخفض الألياف وخالٍ من البذور.
ImageTable CopyQuestionFood DontShowAsExample	أي نظام غذائي؟	.
ImageTable CopyQuestionFood	ما هو النظام الغذائي؟	.
ImageTable CopyQuestionFood	ماذا يجب أن آكل؟	.
ImageTable CopyQuestionFood	ما الذي يمكنني تناوله؟	.
ImageTable CopyQuestionFood	ما المسموح لي بتناوله؟	.
ImageTable CopyQuestionFood DontShowAsExample	هل يمكنني تناول شيء ما؟	.
ImageTable CopyQuestionFood DontShowAsExample	أريد أن آكل شيئاً.	.
ImageTable CopyQuestionFood	هل يمكنني تناول أطعمة غنية بالألياف قبل العملية؟	.
ImageTable CopyQuestionFood	ما الذي يجب أن أتجنب تناوله قبل الامتحان بثلاثة أيام؟	.
ImageTable CopyQuestionFood	هل هناك أي خضروات يجب أن أتخطاها؟	.

ImageTable CopyQuestionDrink DontShowAsExample	هل يمكنني الشرب؟	يمكنك الآن شرب كل ما تريد، ولكن قبل يوم واحد من الفحص يرجى الامتناع عن شرب السوائل الملونة (مثل القهوة والشاي الأسود والحليب والكولا وشاي الفاكهة الداكن والنبيذ الأحمر)
ImageTable CopyQuestionDrink	ماذا يمكنني أن أشرب؟	يمكنك شرب أي شيء حتى يوم واحد قبل الفحص. من هذا اليوم فصاعداً، يُرجى الامتناع عن شرب السوائل الملونة (مثل القهوة والشاي الأسود والحليب والكولا وشاي الفاكهة الداكن والنبيذ الأحمر)
ImageColouredDrink CopyQuestionDrink	هل هناك أي سوائل يجب أن أتجنبها؟	.
ImageColouredDrink CopyQuestionDrink	هل يمكنني تناول القهوة أو الشاي في اليوم السابق للامتحان؟	.

ImageClearDrink CopyQuestionDrink	ما المسموح لي بشربه؟	يُسمح بتناول جميع السوائل الصافية (مثل الماء وعصير التفاح والشاي فاتح اللون) بأي كمية. إليك مثال على ما يمكنك شربه.
ImageClearDrink CopyQuestionDrink DontShowAsExample	هل يمكنني تناول مشروب على الإطلاق؟	.

CopyQuestionAlcohol	هل يمكنني شرب الكحول؟	لا يجوز لك شرب الكحول في نفس يوم الموعد وفي اليوم السابق له. كما يوصى بعدم تناوله في اليوم التالي للإجراء.
	هل يمكنني شرب الماء؟	يمكنك شرب الماء وقتما تشاء، لأنه سائل صافٍ لا يضعف الرؤية أثناء تنظير القولون.
	
CopyQuestionLaxatives	طعمه مقرف.	إذا كنت تشير إلى الملينات، فيجب ألا تشربها الآن. ومع ذلك، يجب أن تبدأ بشرب المحلول الأول بعد ظهر اليوم السابق لتنظير القولون.
CopyQuestionLaxatives	طعمه سيء.	.
CopyQuestionLaxatives	طعمه سيء.	.
CopyQuestionLaxatives	طعمه سيء للغاية.	.
CopyQuestionLaxatives	مذاقه سيء، ماذا يمكنني أن أفعل؟	.
CopyQuestionLaxatives	هل هناك طريقة لجعل مذاق هذا المحلول أفضل؟	.
CopyQuestionLaxatives	هل لديك نصائح لجعل شرب الملين أسهل؟	.

3

CopyQuestionWhatToDo ImageTable	.	يجب عليك الآن التركيز في نظامك الغذائي. لا تتناول أي أطعمة تحتوي على البذور أو الأطعمة الغنية بالألياف.
CopyQuestionFood ImageBadFood	.	يجب عليك الامتناع عن تناول أي أطعمة تحتوي على البذور أو الأطعمة الغنية بالألياف. إليك مثالاً على ما يجب عليك تجنبه.
