{}
.
// Before each section the days before the examination are indicated. The first section does not have a prefered time. Comments start with //
// Answers that are a point (.) are an abbreviation of the previous answer, when executing the file the previous answer is copied into the point
// The point after a number copies the whole number that came before into the new one
// The point where a question should be copies the questions that have the same CopyQuestion... key where the point is applying the answer there
// It is only possible to combine keys with CopyQuestion... and DontShowAsExample. 
// These keys should not be the first one in the column (except with the sections with numbers, there it does not matter the position of CopyQuestion...) 
// The file is in format: Actions	Question	Answer

// user-specific answers
	Что происходит после окончания колоноскопии?	После того как вы отдохнете, врач обсудит с вами результаты теста. Если были взяты образцы, анализ обычно занимает 2-3 рабочих дня. Вы и ваш семейный врач будете проинформированы об этом в письменном виде.
	Когда я смогу вернуться домой?	Вы можете рассчитывать на то, что проведете в центре эндоскопии в общей сложности 2 часа. Конечно, это может быть короче или дольше.
	Когда мне снова разрешат водить машину?	Если вам сделали "инъекцию сна", вы можете снова активно участвовать в дорожном движении только через 12 часов

// just before the colonoscopy
	Я нервничаю из-за процедуры, что мне делать?	Если вы нервничаете из-за процедуры, важно сосредоточиться на том, что вы можете контролировать, чтобы справиться со своим волнением. Во-первых, постарайтесь собрать как можно больше информации о процедуре. Понимание того, что будет происходить шаг за шагом, поможет упростить процесс и уменьшить ваши страхи. Беседа с вашим лечащим врачом также может придать уверенности и ясности; он ответит на любые конкретные вопросы и поможет устранить ваши опасения.
	Как я могу психологически подготовиться к экзамену?	.
DontShowAsExample	Я нервничаю.	.
DontShowAsExample	Я беспокоюсь.	.
	
	Это причинит мне боль?	В день обследования вы получите успокоительное, чтобы процесс был безболезненным. Однако после процедуры возможно плохое самочувствие. Если симптомы не улучшаются в течение дня, обратитесь в эндоскопию университетской клиники Ульма 0731-500-44632.
	Что мне делать в день экзамена?	В день обследования приготовьте 2 пакетика слабительного раствора. Начните пить, чтобы быть готовым не менее чем за 3 часа до приема. Выпейте слабительный раствор большими глотками в течение часа. Для этого выпейте не менее 1-2 литров чистой жидкости. Несмотря на то, что пить его еще рано, очень важно добиться оптимальной чистоты кишечника.
	
	Куда мне нужно идти?	В день обследования вы должны прийти в Университетскую клинику Ульма, Оберер Эзельсберг, Альберт-Эйнштейн-Аллее 23, уровень 1, Центр регистрации эндоскопии
	Как попасть в клинику?	.
	Должен ли я сначала обратиться в центр приема пациентов?	Если это ваш первый визит в этом квартале, сначала вам следует обратиться в Центральный приемный отдел, уровень 2, с квитанцией о направлении.
	Где именно находится клиника?	.
	Мне нужно сначала где-то зарегистрироваться?	.
	Как попасть в отделение эндоскопии?	.

// laxatives
	Что сделают слабительные?	Слабительные средства приведут к учащению опорожнения кишечника/диарее. Это желательный эффект для обследования и не должен вас беспокоить
	Что касается справок о работе и болезни?	Как правило, вы получаете больничный лист на день обследования. Вы можете вернуться к работе в обычном режиме со следующего дня после дня обследования. Однако если симптомы сохраняются и на следующий день после обследования, вам следует снова обратиться к врачу.
	Смогу ли я вернуться к работе?	Вы можете вернуться к работе в обычном режиме со следующего дня после дня обследования. Однако если симптомы сохраняются на следующий день после обследования, вам следует снова обратиться к врачу.
	
	Неужели мне придется пить все подряд?	Кишечник может быть достаточно очищен только в том случае, если вы принимаете раствор полностью.
	Нужно ли пить весь раствор?	.
	
	Можно ли выпить все сразу?	Соблюдайте инструкции в упаковке слабительного.
	Как подготовить продукт?	.
	
	Теперь у меня диарея. Это нормально?	Диарея - это совершенно нормально. Слабительное очищает кишечник и полностью вымывает из него фекалии. Мы воспринимаем это как диарею.
DontShowAsExample	У меня диарея.	.
	У меня диарея, это ожидаемо?	.
	С тех пор как я начал принимать пищевую добавку, у меня участились кишечные расстройства/диарея. Это нормально?	.
	
	Как часто мне нужно ходить в туалет?	Количество походов в туалет может быть самым разным, потому что кишечник реагирует по-разному. Но вы заметите, когда кишечник опорожнится.
	Как долго мне нужно будет находиться рядом с ванной?	.
	
	Почему я должен пить его в таком виде?	Теперь кишечник полностью опорожнен. Только после этого эксперт может оценить все участки кишечника.
	Я уже несколько раз ходил в туалет. Ничего не выходит	Если после приема слабительных средств ваш стул напоминает ромашковый чай, а твердые частицы больше не видны, вы вполне готовы к колоноскопии.
	
	Когда следует начинать прием слабительного?	Выпейте первое слабительное за день до обследования в 17:00. Выпейте слабительный раствор большими глотками в течение часа и выпейте не менее 1-2 литров чистой жидкости. В день обследования выпейте слабительное за 3 часа до приема. Выпейте его так же, как и в первый раз, и не забудьте запить чистой жидкостью. Несмотря на то, что пить его еще рано, очень важно добиться оптимальной чистоты кишечника.
	Нужно ли мне принимать слабительное?	.
	Когда я должен начать инициацию?	.
	Когда следует начинать пить слабительный раствор?	.
	В какое время следует принимать первый пакетик?	.
	
	Когда следует выпить первый раствор?	Выпейте первое слабительное за день до приема. Размешайте 1 пакетик слабительного раствора. Начните пить в 17:00. Выпейте слабительный раствор большими глотками в течение часа. Выпейте не менее 1-2 литров чистой жидкости.
	Когда нужно выпить первый раствор?	.
	Когда следует пить первое слабительное?	.
	Когда я должен выпить первое слабительное?	.
	Когда следует начинать принимать слабительное?	.
	
	Почему я должен пить дважды?	Разделение опорожнения кишечника на вечер перед обследованием и день обследования улучшает чистоту кишечника. Кроме того, вам не придется пить так много за один раз.
	Почему мне нужно выпить две дозы?	.
	
	Когда принимать второй пакет слабительного?	В день проведения теста выпейте 2-ю половину слабительного за 3 часа до назначенного приема.
	Когда принимать 2-й пакетик слабительного?	.
	Когда мне принять второй пакетик слабительного?	.
	
	Как должен выглядеть мой стул после приема слабительных средств?	Ваш стул должен напоминать ромашковый чай и не содержать твердых частиц.
	Что делать, если после приема слабительного стул выглядит не так, как должен?	Пожалуйста, сообщите нам об этом по прибытии в центр эндоскопии.
	
// bring to examination
	Что нужно принести на экзамен?	Если не оговорено иное, подписанный информационный лист, текущие показатели крови (коагулограмма и анализ крови не старше 10 дней) и паспорт аллергика, если таковой имеется (пожалуйста, сообщите эксперту о непереносимости лекарств до начала обследования). Также имейте в виду, что рекомендуется взять с собой теплые носки.
	Что я должен принести на экзамен?	.
	Что нужно взять с собой на процедуру?	.
	Что я должен принести с собой на процедуру?	.
	Что нужно взять с собой на колоноскопию?	.
	Что нужно взять с собой на колоноскопию?	.
	Что мне нужно взять с собой?	.
	Что мне нужно принести на экзамен?	.
	Нужно ли мне приносить что-нибудь на экзамен?	.
	
	Какие показатели крови необходимы для колоноскопии?	Для проведения колоноскопии необходимо сдать анализ крови (тромбоциты) и показатели свертываемости (Квик, ПТТ).

	Почему я должен взять с собой теплые носки?	Носки пригодятся, если у вас холодные ноги.
	Зачем нужны теплые носки?	.

// diet information
ImageHighFibreFood	Что такое продукты с высоким содержанием клетчатки?	Примерами продуктов с высоким содержанием клетчатки являются дыни, киви, помидоры, виноград, клубника, мюсли, цельнозерновые продукты, кабачки, салат-латук, лук-порей, бобы и т. д.
ImageHighFibreFood	Можете ли вы привести примеры продуктов с высоким содержанием клетчатки?	.
ImageHighFibreFood	Приведите примеры продуктов с высоким содержанием клетчатки.	.
ImageHighFibreFood	Какие продукты содержат много клетчатки?	.
	
ImageSeedFood	Что такое продукты, содержащие семена, и овощи, богатые клетчаткой?	Примерами продуктов, содержащих семена, и овощей, богатых клетчаткой, являются дыня, киви, помидоры, виноград, клубника, мюсли, продукты VK, семена мака, кабачки, салат, лук-порей и фасоль.
ImageSeedFood	Какие продукты содержат семена, которых мне следует избегать?	.
ImageSeedFood	Какие продукты содержат семена?	.
ImageSeedFood	Можете ли вы привести примеры продуктов, содержащих семена?	.
ImageSeedFood	Приведите примеры продуктов, содержащих семена.	.
ImageSeedFood	Какие продукты содержат семена?	.
	
ImageLowFibreFood	Что такое еда с низким содержанием клетчатки?	Примером блюд с низким содержанием клетчатки может служить прозрачный суп с лапшой или картофелем.
ImageLowFibreFood	Что такое продукты с низким содержанием клетчатки?	Примерами продуктов с низким содержанием клетчатки являются прозрачные супы, супы с вермишелью, картофельное пюре и белый хлеб.
ImageHighFibreFood	Где находится клетчатка?	Волокно содержится в помидорах, кабачках, латуке, луке-порее, фасоли и т.д.
ImageSeedFood	Почему я должен избегать семян?	Семена могут засорить эндоскоп и значительно ухудшить результаты исследования.
ImageHighFibreFood	Почему я должен избегать клетчатки?	Продукты, содержащие клетчатку, дольше остаются в кишечнике. Они значительно ограничивают обзор во время обследования.

ImageColouredDrink	Что такое красящие жидкости?	Окрашенные жидкости - это все жидкости, сквозь которые не видно света. К ним относятся кофе, черный чай, молоко, кола, темный фруктовый чай и красное вино.
ImageColouredDrink	Что относится к цветным напиткам?	.
ImageColouredDrink	Что такое крашеный напиток?	.
ImageColouredDrink	Что такое красящая жидкость?	.
ImageColouredDrink DontShowAsExample	Что такое темный напиток?	.
ImageColouredDrink DontShowAsExample	Что такое темная жидкость?	.
ImageColouredDrink DontShowAsExample	Что такое цветной напиток?	.
ImageColouredDrink DontShowAsExample	Что такое цветная жидкость?	.

ImageClearDrink	Что такое прозрачные жидкости?	Прозрачные жидкости - например, вода, яблочный сок, чай светлых тонов.
ImageClearDrink	Что означает "прозрачные жидкости"?	.
ImageClearDrink	Что такое прозрачный напиток?	.
ImageClearDrink	Что такое прозрачная жидкость?	.
ImageClearDrink	Что такое прозрачный напиток?	.
ImageClearDrink	Что такое прозрачная жидкость?	.

ImageMealExamples	Приведите примеры блюд.	Примеры низкокалорийных блюд без семян показаны на этом изображении.
ImageMealExamples DontShowAsExample	Пример блюд.	.

// preparation
ImageTable	Когда я должен начать обращать внимание на то, что я ем/пью?	За три дня до теста следует избегать продуктов, содержащих семена, и овощей, богатых клетчаткой. За 1 день до теста следует избегать следующих продуктов
ImageTable	Что нужно делать или не делать за 3 дня до обследования?	.
ImageTable	Нужно ли мне обратить внимание на что-то в плане питания?	.
ImageTable	Каких продуктов следует избегать в дни, предшествующие экзамену?	.
ImageTable	Какой диеты мне следует придерживаться за три дня до экзамена?	.

	Почему я не могу есть продукты с высоким содержанием клетчатки и жира?	Важно не есть пищу с высоким содержанием клетчатки и жиров за 3 дня до приема, чтобы не ухудшить зрение во время колоноскопии.
	Почему я не могу пить красящие жидкости?	Цветные жидкости могут ухудшить зрение во время обследования.
	
ImageTable	Что еще мне нельзя делать?	За день до обследования не следует есть пищу с высоким содержанием клетчатки и жиров, а также пить цветные жидкости.
ImageTable	Что я должен делать или не делать за день до экзамена?	Избегайте цветных напитков (разрешены прозрачные жидкости), блюд с высоким содержанием клетчатки и жиров, а также алкоголя. Пожалуйста, ешьте на обед пищу с низким содержанием клетчатки.
	
ImageClearDrink	Какие напитки можно употреблять перед колоноскопией?	Перед колоноскопией можно пить любые прозрачные жидкости.

// copy questions (these are pasted into the next sections)
ImageTable CopyQuestionWhatToDo	Что теперь?	Сейчас вам ничего не нужно делать, подготовка начинается за 3 дня до приема. Затем вам нужно будет начать диету с низким содержанием клетчатки и без семечек.
ImageTable CopyQuestionWhatToDo	Что мне нужно сделать?	.
ImageTable CopyQuestionWhatToDo	Что мне делать?	.

ImageTable CopyQuestionFood	Каких продуктов мне следует избегать?	Сейчас вы можете питаться как обычно, подготовка начинается за 3 дня до приема. Затем вам придется начать диету с низким содержанием клетчатки и без семечек.
ImageTable CopyQuestionFood DontShowAsExample	Какая диета?	.
ImageTable CopyQuestionFood	Что такое диета?	.
ImageTable CopyQuestionFood	Что я должен есть?	.
ImageTable CopyQuestionFood	Что я могу есть?	.
ImageTable CopyQuestionFood	Что мне можно есть?	.
ImageTable CopyQuestionFood DontShowAsExample	Можно мне что-нибудь съесть?	.
ImageTable CopyQuestionFood DontShowAsExample	Я хочу что-нибудь съесть.	.
ImageTable CopyQuestionFood	Можно ли перед процедурой употреблять продукты, богатые клетчаткой?	.
ImageTable CopyQuestionFood	Чего не следует есть за три дня до экзамена?	.
ImageTable CopyQuestionFood	Есть ли овощи, которые следует пропустить?	.

ImageTable CopyQuestionDrink DontShowAsExample	Можно мне выпить?	Сейчас вы можете пить все, что хотите, но за день до экзамена воздержитесь от употребления цветных жидкостей (например, кофе, черного чая, молока, колы, темного фруктового чая, красного вина).
ImageTable CopyQuestionDrink	Что я могу выпить?	Вы можете пить что угодно за 1 день до обследования. С этого дня, пожалуйста, воздержитесь от употребления цветных жидкостей (например, кофе, черный чай, молоко, кола, темный фруктовый чай, красное вино).
ImageColouredDrink CopyQuestionDrink	Есть ли жидкости, которых мне следует избегать?	.
ImageColouredDrink CopyQuestionDrink	Могу ли я выпить кофе или чай за день до экзамена?	.

ImageClearDrink CopyQuestionDrink	Что мне можно пить?	Все прозрачные жидкости (например, вода, яблочный сок, чай светлых тонов) разрешены в любом количестве. Вот пример того, что можно пить.
ImageClearDrink CopyQuestionDrink DontShowAsExample	Можно ли мне вообще пить?	.

CopyQuestionAlcohol	Можно ли мне пить алкоголь?	Нельзя употреблять алкоголь в день приема и накануне. Также рекомендуется не пить на следующий день после процедуры.
	Можно ли пить воду?	Вы можете пить воду, когда захотите, потому что это прозрачная жидкость, которая не ухудшает видимость во время колоноскопии.
	
CopyQuestionLaxatives	Вкус отвратительный.	Если вы имеете в виду слабительные, то сейчас вам не следует их пить. Однако вы должны начать пить первый раствор во второй половине дня за день до колоноскопии.
CopyQuestionLaxatives	Вкус не очень.	.
CopyQuestionLaxatives	Вкус ужасный.	.
CopyQuestionLaxatives	Вкус ужасный.	.
CopyQuestionLaxatives	Вкус ужасный, что делать?	.
CopyQuestionLaxatives	Есть ли способ сделать этот раствор вкуснее?	.
CopyQuestionLaxatives	Есть ли у вас советы, как облегчить прием слабительного?	.

3

CopyQuestionWhatToDo ImageTable	.	Сейчас вам следует сосредоточиться на своем питании. Не ешьте продукты, содержащие семена, и продукты с высоким содержанием клетчатки.
CopyQuestionFood ImageBadFood	.	Вам больше не следует есть продукты, содержащие семена, или продукты с высоким содержанием клетчатки. Вот пример того, чего вам следует избегать.
CopyQuestionDrink	.	Сейчас вы можете пить все, что хотите, но за день до колоноскопии воздержитесь от употребления цветных жидкостей (например, кофе, черного чая, молока, колы, темного фруктового чая, красного вина).

//// Second day has the same considerations as third day
2	.
	
1

CopyQuestionWhatToDo ImageTable	.	Отныне, помимо отказа от продуктов, содержащих семена, и продуктов с высоким содержанием клетчатки, вам также следует избегать продуктов с высоким содержанием жира и цветных напитков. Также рекомендуется избегать алкоголя.
CopyQuestionFood ImageBadFood	.	Отныне, помимо отказа от продуктов, содержащих семена, и продуктов с высоким содержанием клетчатки, вам также следует избегать продуктов с высоким содержанием жиров. Вот пример того, чего вам следует избегать.
CopyQuestionDrink ImageColouredDrink	.	Пожалуйста, воздержитесь от употребления цветных жидкостей (например, кофе, черного чая, молока, колы, темного фруктового чая, красного вина), так как они могут помешать зрению во время обследования. Вот пример того, чего вам следует избегать.
CopyQuestionAlcohol	.	В эти дни не рекомендуется употреблять алкоголь из-за процедуры.
CopyQuestionLaxatives	.	К сожалению, аромат не является выдающимся. Вы правы. Вот несколько советов: Поставьте раствор в бутылке в холодильник, прежде чем выпить его. Можно также использовать соломинку. Ликер можно разбавить сиропом светлого цвета или яблочным соком.

	Нужно ли мне завтра выпить обе половинки?	Вы должны выпить вторую половину не позднее чем за 3 часа до назначения колоноскопии.

0

CopyQuestionWhatToDo ImageTable	.	Сегодня утром вы должны поститься, поэтому постарайтесь не есть до окончания процедуры. Однако за 2 часа до начала колоноскопии можно пить чистый яблочный сок, ромашковый чай и воду.
CopyQuestionFood	.	.
CopyQuestionDrink ImageClearDrink	.	Пожалуйста, воздержитесь от употребления цветных жидкостей (например, кофе, черного чая, молока, колы, темного фруктового чая, красного вина), так как они могут помешать зрению во время обследования. За последние 2 часа до обследования постарайтесь ничего не пить. Вот пример того, что вы можете выпить.
CopyQuestionAlcohol	.	Сегодня вам не следует употреблять алкоголь.
CopyQuestionLaxatives	.	К сожалению, аромат не является выдающимся. Вы правы. Вот несколько советов: Поставьте раствор в бутылке в холодильник, прежде чем выпить его. Можно также использовать соломинку. Ликер можно разбавить сиропом светлого цвета или яблочным соком.
	
-1

CopyQuestionWhatToDo	.	После того как вы отдохнете, врач обсудит с вами результаты теста. Если были взяты образцы, анализ обычно занимает 2-3 рабочих дня. Вы и ваш семейный врач будете проинформированы об этом в письменном виде. Вы можете рассчитывать на то, что в центре эндоскопии вы проведете в общей сложности 2 часа. Конечно, это может быть короче или дольше.
CopyQuestionFood	.	В принципе, вы снова можете есть и пить все подряд. Однако мы рекомендуем осторожно вводить кишечник в пищу. Вы полностью опорожнили толстую кишку. Начните с легкоусвояемой пищи - макарон, супов, хлеба и т. д.
CopyQuestionDrink	.	После выписки после эндоскопии нет никаких ограничений в отношении того, что можно пить. Но даже в этом случае рекомендуется не пить сегодня.
CopyQuestionAlcohol	.	Рекомендуется не пить его на следующий день после процедуры.
	Могу ли я снова пить все подряд?	После выписки после эндоскопии нет никаких ограничений относительно того, что можно пить.
	
// bowels after the examination
	Меня так раздуло. Это нормально?	Для обследования эксперт использовал углекислый газ, чтобы слегка расширить кишечник. Этот газ вызывает ощущение вздутия живота. Это немного неприятно, но нормально. Однако если ощущение не проходит или усиливается, обратитесь в центр эндоскопии. Мы поможем вам в дальнейшем.
	У меня боли в животе.	Если симптомы не улучшаются в течение дня, обратитесь к врачу.
	У меня кровь в кале. Что мне делать?	Если во время обследования удаляются полипы, в редких случаях может возникнуть послеоперационное кровотечение. Пожалуйста, свяжитесь с отделением эндоскопии Университетской клиники Ульма 0731-500-44632!
	Я истекаю кровью.	В течение первых 10 дней может возникнуть кровотечение. Если это произойдет, пожалуйста, свяжитесь с нами. Этот период очень вариативен и отличается у разных людей.

	У меня жар.	Если вы почувствовали себя плохо, немедленно обратитесь в отделение эндоскопии университетской клиники Ульма 0731-500-44632.
	Меня рвет кровью.	.
